"","Last.Date.of.Month","tvecm_rets"
"1","2012-01-31",0.687918729596812
"2","2012-02-29",0.569960418430225
"3","2012-03-31",0.515646708016101
"4","2012-04-30",0.46909471413544
"5","2012-05-31",0.438113088621736
"6","2012-06-30",0.424626903979465
"7","2012-07-31",0.298867444009578
"8","2012-08-31",0.246329107136627
"9","2012-09-30",0.138793505718415
"10","2012-10-31",0.135541244553007
"11","2012-11-30",0.200071430945004
"12","2012-12-31",0.193033584193895
"13","2013-01-31",0.185279939782052
"14","2013-02-28",0.160838296912292
"15","2013-03-31",0.133481224628873
"16","2013-04-30",0.248933779667065
"17","2013-05-31",0.208714792236252
"18","2013-06-30",0.204081310664997
"19","2013-07-31",0.228580522781753
"20","2013-08-31",0.317005861233195
"21","2013-09-30",0.280941548299735
"22","2013-10-31",0.273742221536314
"23","2013-11-30",0.289292624440383
"24","2013-12-31",0.300381183405054
"25","2014-01-31",0.294356847222014
"26","2014-02-28",0.239341628508698
"27","2014-03-31",0.276379763706202
"28","2014-04-30",0.269254208128239
"29","2014-05-31",0.365589418993356
"30","2014-06-30",0.249467645947929
"31","2014-07-31",0.191032746446975
"32","2014-08-31",0.207310787437534
"33","2014-09-30",0.213408602077496
"34","2014-10-31",0.172014453722331
"35","2014-11-30",0.167779992111929
"36","2014-12-31",0.151607026428753
"37","2015-01-31",0.0865557156334345
"38","2015-02-28",0.0314585546874233
"39","2015-03-31",-0.0619691324518006
"40","2015-04-30",-0.0453857670211693
"41","2015-05-31",-0.102668998112594
"42","2015-06-30",-0.207653973736779
"43","2015-07-31",-0.223690297318928
"44","2015-08-31",-0.232103864126641
"45","2015-09-30",-0.258173737887998
"46","2015-10-31",-0.240816162645771
"47","2015-11-30",-0.277279055988818
"48","2015-12-31",-0.518980607018485
"49","2016-01-31",-0.585807917161091
"50","2016-02-29",-0.669002349828211
"51","2016-03-31",-0.683464380955773
"52","2016-04-30",-0.705253387060852
"53","2016-05-31",-0.75456368997352
"54","2016-06-30",-0.696786276150667
"55","2016-07-31",-0.795718069611905
"56","2016-08-31",-0.842481932882938
"57","2016-09-30",-0.952534219195375
"58","2016-10-31",-0.928277306697302
"59","2016-11-30",-0.845239400555102
"60","2016-12-31",-1.04298793831849
"61","2017-01-31",-1.09151916140867
"62","2017-02-28",-1.1334122271926
"63","2017-03-31",-1.1894914565122
"64","2017-04-30",-1.22172539767707
"65","2017-05-31",-1.25921014431106
"66","2017-06-30",-1.41137996998789
"67","2017-07-31",-1.44474368974297
"68","2017-08-31",-1.49506730041882
"69","2017-09-30",-1.45366842884071
"70","2017-10-31",-1.47670001445239
"71","2017-11-30",-1.43257201850267
"72","2017-12-31",-1.66074863463664
"73","2018-01-31",-1.73397345861794
"74","2018-02-28",-1.97721653706886
"75","2018-03-31",-2.21557163849898
"76","2018-04-30",-2.29010282273293
"77","2018-05-31",-2.28101622334057
"78","2018-06-30",-2.2551571872783
"79","2018-07-31",-2.24013184485542
"80","2018-08-31",-2.24653632563626
"81","2018-09-30",-2.27237685651877
"82","2018-10-31",-2.45799495290621
"83","2018-11-30",-2.58234435424925
"84","2018-12-31",-2.68489405111994
"85","2019-01-31",-2.58075186228714
