"","Last.Date.of.Month","var_rets"
"1","2012-01-31",-0.147937971953642
"2","2012-02-29",-0.132652800001816
"3","2012-03-31",-0.215012042692979
"4","2012-04-30",-0.294856586619362
"5","2012-05-31",-0.315415797915619
"6","2012-06-30",-0.369782312610566
"7","2012-07-31",-0.47411297804771
"8","2012-08-31",-0.499765270291646
"9","2012-09-30",-0.523285093100754
"10","2012-10-31",-0.540425732761002
"11","2012-11-30",-0.565778815189633
"12","2012-12-31",-0.580859703160122
"13","2013-01-31",-0.576061098614239
"14","2013-02-28",-0.572308201839457
"15","2013-03-31",-0.59093973934855
"16","2013-04-30",-0.577469641146384
"17","2013-05-31",-0.579749768440774
"18","2013-06-30",-0.581807406136786
"19","2013-07-31",-0.521311577827093
"20","2013-08-31",-0.502785133885291
"21","2013-09-30",-0.491359442042166
"22","2013-10-31",-0.495347081137972
"23","2013-11-30",-0.496898620393764
"24","2013-12-31",-0.517112799424391
"25","2014-01-31",-0.503580831547278
"26","2014-02-28",-0.523134242756944
"27","2014-03-31",-0.498689389836485
"28","2014-04-30",-0.499040070060247
"29","2014-05-31",-0.488941272338611
"30","2014-06-30",-0.527519584227256
"31","2014-07-31",-0.590637356628313
"32","2014-08-31",-0.597030244034891
"33","2014-09-30",-0.630303990298044
"34","2014-10-31",-0.654532600681812
"35","2014-11-30",-0.668489219363067
"36","2014-12-31",-0.696943319436264
"37","2015-01-31",-0.792599931126963
"38","2015-02-28",-0.82565760361563
"39","2015-03-31",-0.842904438094026
"40","2015-04-30",-0.85209511956665
"41","2015-05-31",-0.871562064385805
"42","2015-06-30",-0.907954601139255
"43","2015-07-31",-0.962544350019094
"44","2015-08-31",-1.04719237617123
"45","2015-09-30",-1.06135362649802
"46","2015-10-31",-1.03993019150027
"47","2015-11-30",-1.06020084203609
"48","2015-12-31",-1.33755985684252
"49","2016-01-31",-1.38883543322175
"50","2016-02-29",-1.4461828810701
"51","2016-03-31",-1.43813826160762
"52","2016-04-30",-1.43875851626443
"53","2016-05-31",-1.4599939420646
"54","2016-06-30",-1.45438713674093
"55","2016-07-31",-1.54412369898105
"56","2016-08-31",-1.67744125394927
"57","2016-09-30",-1.69922953547589
"58","2016-10-31",-1.68402115873078
"59","2016-11-30",-1.68543626225033
"60","2016-12-31",-1.85683238267779
"61","2017-01-31",-1.87908418174331
"62","2017-02-28",-1.84062055521555
"63","2017-03-31",-1.94007567704982
"64","2017-04-30",-1.99928574771116
"65","2017-05-31",-2.01973051100337
"66","2017-06-30",-2.1493586440505
"67","2017-07-31",-2.17466296798618
"68","2017-08-31",-2.21233830564257
"69","2017-09-30",-2.19534044646097
"70","2017-10-31",-2.18422279694486
"71","2017-11-30",-2.24269717273282
"72","2017-12-31",-2.45976215291169
"73","2018-01-31",-2.51348200403989
"74","2018-02-28",-2.66134092633916
"75","2018-03-31",-2.94367898566505
"76","2018-04-30",-3.04620145548792
"77","2018-05-31",-3.02738477982142
"78","2018-06-30",-3.05424727907736
"79","2018-07-31",-2.99792207542881
"80","2018-08-31",-3.01559188037497
"81","2018-09-30",-3.06487746156771
"82","2018-10-31",-3.18076400128143
"83","2018-11-30",-3.35094348161426
"84","2018-12-31",-3.45633634242865
"85","2019-01-31",-3.33492029845912
